K,lambda,Neff,converged,rel_err,iters,max_g
1,2.899110860708261e-12,24.000015792475832,True,6.580198263309948e-07,53,1.3453624047063077
2,2.899110860708261e-12,24.000015792475832,True,6.580198263309948e-07,53,1.3453624047063077
5,2.899110860708261e-12,24.000015792475832,True,6.580198263309948e-07,53,1.3453624047063077
10,2.899110860708261e-12,24.000015792475832,True,6.580198263309948e-07,53,1.3453624047063077
20,2.899110860708261e-12,24.000015792475832,True,6.580198263309948e-07,53,1.3453624047063077
24,2.899110860708261e-12,24.000015792475832,True,6.580198263309948e-07,53,1.3453624047063077
48,2.899110860708261e-12,24.000015792475832,True,6.580198263309948e-07,53,1.3453624047063077
50,2.899110860708261e-12,24.000015792475832,True,6.580198263309948e-07,53,1.3453624047063077
100,2.899110860708261e-12,24.000015792475832,True,6.580198263309948e-07,53,1.3453624047063077
