tier,K,S_wc
Tier3_WiderStress,1,1.3453624047063077
Tier3_WiderStress,2,1.3453624047062003
Tier3_WiderStress,5,1.3453624047060257
Tier3_WiderStress,10,1.345362404705703
Tier3_WiderStress,20,1.345362404704681
Tier3_WiderStress,24,1.3453624047040755
Tier3_WiderStress,48,1.345362404700893
Tier3_WiderStress,50,1.34536240470062
Tier3_WiderStress,100,1.3453624046840822
