family,tier,design_id,ok,psi_hat,U,p,Q,msg,spec,features,Q_json
did,Tier3_WiderStress,Tier3_WiderStress_0411,True,[0.],[[1.e-12]],[1.],"{'names': ['const', 'treat', 'post', 'did'], 'transform': 'log1p', 'winsor_p': None, 'uFE': 0, 'tFE': 0, 'control_L': 0, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'log1p', 'winsor_p': None}, 's': {'drop_last_k': 6}, 'e': {'estimator': 'OLS', 'uFE': 0, 'tFE': 0, 'control_L': 0}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 6.0, 'uFE': 0.0, 'tFE': 0.0, 'control_L': 0.0, 'transform_log1p': 1.0, 'winsor_p': 0.0, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""const"", ""treat"", ""post"", ""did""], ""transform"": ""log1p"", ""winsor_p"": null, ""uFE"": 0, ""tFE"": 0, ""control_L"": 0, ""pretrend_max_abs_t"": 0.0}"
did,Tier3_WiderStress,Tier3_WiderStress_0412,True,[0.],[[1.e-12]],[1.],"{'names': ['const', 'treat', 'post', 'did'], 'transform': 'log1p', 'winsor_p': 0.01, 'uFE': 0, 'tFE': 0, 'control_L': 0, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'log1p', 'winsor_p': 0.01}, 's': {'drop_last_k': 6}, 'e': {'estimator': 'OLS', 'uFE': 0, 'tFE': 0, 'control_L': 0}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 6.0, 'uFE': 0.0, 'tFE': 0.0, 'control_L': 0.0, 'transform_log1p': 1.0, 'winsor_p': 0.01, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""const"", ""treat"", ""post"", ""did""], ""transform"": ""log1p"", ""winsor_p"": 0.01, ""uFE"": 0, ""tFE"": 0, ""control_L"": 0, ""pretrend_max_abs_t"": 0.0}"
did,Tier3_WiderStress,Tier3_WiderStress_0413,True,[0.],[[1.e-12]],[1.],"{'names': ['const', 'treat', 'post', 'did'], 'transform': 'log1p', 'winsor_p': 0.05, 'uFE': 0, 'tFE': 0, 'control_L': 0, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'log1p', 'winsor_p': 0.05}, 's': {'drop_last_k': 6}, 'e': {'estimator': 'OLS', 'uFE': 0, 'tFE': 0, 'control_L': 0}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 6.0, 'uFE': 0.0, 'tFE': 0.0, 'control_L': 0.0, 'transform_log1p': 1.0, 'winsor_p': 0.05, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""const"", ""treat"", ""post"", ""did""], ""transform"": ""log1p"", ""winsor_p"": 0.05, ""uFE"": 0, ""tFE"": 0, ""control_L"": 0, ""pretrend_max_abs_t"": 0.0}"
did,Tier3_WiderStress,Tier3_WiderStress_0414,True,[0.],[[1.e-12]],[1.],"{'names': ['const', 'treat', 'post', 'did', 'x1'], 'transform': 'level', 'winsor_p': None, 'uFE': 0, 'tFE': 0, 'control_L': 1, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'level', 'winsor_p': None}, 's': {'drop_last_k': 6}, 'e': {'estimator': 'OLS', 'uFE': 0, 'tFE': 0, 'control_L': 1}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 6.0, 'uFE': 0.0, 'tFE': 0.0, 'control_L': 1.0, 'transform_log1p': 0.0, 'winsor_p': 0.0, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""const"", ""treat"", ""post"", ""did"", ""x1""], ""transform"": ""level"", ""winsor_p"": null, ""uFE"": 0, ""tFE"": 0, ""control_L"": 1, ""pretrend_max_abs_t"": 0.0}"
did,Tier3_WiderStress,Tier3_WiderStress_0415,True,[0.],[[1.e-12]],[1.],"{'names': ['const', 'treat', 'post', 'did', 'x1'], 'transform': 'level', 'winsor_p': 0.01, 'uFE': 0, 'tFE': 0, 'control_L': 1, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'level', 'winsor_p': 0.01}, 's': {'drop_last_k': 6}, 'e': {'estimator': 'OLS', 'uFE': 0, 'tFE': 0, 'control_L': 1}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 6.0, 'uFE': 0.0, 'tFE': 0.0, 'control_L': 1.0, 'transform_log1p': 0.0, 'winsor_p': 0.01, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""const"", ""treat"", ""post"", ""did"", ""x1""], ""transform"": ""level"", ""winsor_p"": 0.01, ""uFE"": 0, ""tFE"": 0, ""control_L"": 1, ""pretrend_max_abs_t"": 0.0}"
did,Tier3_WiderStress,Tier3_WiderStress_0416,True,[0.],[[1.e-12]],[1.],"{'names': ['const', 'treat', 'post', 'did', 'x1'], 'transform': 'level', 'winsor_p': 0.05, 'uFE': 0, 'tFE': 0, 'control_L': 1, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'level', 'winsor_p': 0.05}, 's': {'drop_last_k': 6}, 'e': {'estimator': 'OLS', 'uFE': 0, 'tFE': 0, 'control_L': 1}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 6.0, 'uFE': 0.0, 'tFE': 0.0, 'control_L': 1.0, 'transform_log1p': 0.0, 'winsor_p': 0.05, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""const"", ""treat"", ""post"", ""did"", ""x1""], ""transform"": ""level"", ""winsor_p"": 0.05, ""uFE"": 0, ""tFE"": 0, ""control_L"": 1, ""pretrend_max_abs_t"": 0.0}"
did,Tier3_WiderStress,Tier3_WiderStress_0417,True,[0.],[[1.e-12]],[1.],"{'names': ['const', 'treat', 'post', 'did', 'x1'], 'transform': 'log1p', 'winsor_p': None, 'uFE': 0, 'tFE': 0, 'control_L': 1, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'log1p', 'winsor_p': None}, 's': {'drop_last_k': 6}, 'e': {'estimator': 'OLS', 'uFE': 0, 'tFE': 0, 'control_L': 1}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 6.0, 'uFE': 0.0, 'tFE': 0.0, 'control_L': 1.0, 'transform_log1p': 1.0, 'winsor_p': 0.0, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""const"", ""treat"", ""post"", ""did"", ""x1""], ""transform"": ""log1p"", ""winsor_p"": null, ""uFE"": 0, ""tFE"": 0, ""control_L"": 1, ""pretrend_max_abs_t"": 0.0}"
did,Tier3_WiderStress,Tier3_WiderStress_0418,True,[0.],[[1.e-12]],[1.],"{'names': ['const', 'treat', 'post', 'did', 'x1'], 'transform': 'log1p', 'winsor_p': 0.01, 'uFE': 0, 'tFE': 0, 'control_L': 1, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'log1p', 'winsor_p': 0.01}, 's': {'drop_last_k': 6}, 'e': {'estimator': 'OLS', 'uFE': 0, 'tFE': 0, 'control_L': 1}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 6.0, 'uFE': 0.0, 'tFE': 0.0, 'control_L': 1.0, 'transform_log1p': 1.0, 'winsor_p': 0.01, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""const"", ""treat"", ""post"", ""did"", ""x1""], ""transform"": ""log1p"", ""winsor_p"": 0.01, ""uFE"": 0, ""tFE"": 0, ""control_L"": 1, ""pretrend_max_abs_t"": 0.0}"
did,Tier3_WiderStress,Tier3_WiderStress_0419,True,[0.],[[1.e-12]],[1.],"{'names': ['const', 'treat', 'post', 'did', 'x1'], 'transform': 'log1p', 'winsor_p': 0.05, 'uFE': 0, 'tFE': 0, 'control_L': 1, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'log1p', 'winsor_p': 0.05}, 's': {'drop_last_k': 6}, 'e': {'estimator': 'OLS', 'uFE': 0, 'tFE': 0, 'control_L': 1}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 6.0, 'uFE': 0.0, 'tFE': 0.0, 'control_L': 1.0, 'transform_log1p': 1.0, 'winsor_p': 0.05, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""const"", ""treat"", ""post"", ""did"", ""x1""], ""transform"": ""log1p"", ""winsor_p"": 0.05, ""uFE"": 0, ""tFE"": 0, ""control_L"": 1, ""pretrend_max_abs_t"": 0.0}"
did,Tier3_WiderStress,Tier3_WiderStress_0420,True,[0.],[[1.e-12]],[1.],"{'names': ['const', 'treat', 'post', 'did', 'x1', 'x2'], 'transform': 'level', 'winsor_p': None, 'uFE': 0, 'tFE': 0, 'control_L': 2, 'pretrend_max_abs_t': 0.0}",,"{'m': 'DID', 'p': {'transform': 'level', 'winsor_p': None}, 's': {'drop_last_k': 6}, 'e': {'estimator': 'OLS', 'uFE': 0, 'tFE': 0, 'control_L': 2}, 'i': {'cluster': 'unit', 'psi_index': 0}}","{'m_is_DID': 1.0, 'm_is_IV': 0.0, 'm_is_GLM': 0.0, 'drop_last_k': 6.0, 'uFE': 0.0, 'tFE': 0.0, 'control_L': 2.0, 'transform_log1p': 0.0, 'winsor_p': 0.0, 'est_is_OLS': 1.0, 'est_is_GLM': 0.0, 'cluster_unit': 1.0}","{""names"": [""const"", ""treat"", ""post"", ""did"", ""x1"", ""x2""], ""transform"": ""level"", ""winsor_p"": null, ""uFE"": 0, ""tFE"": 0, ""control_L"": 2, ""pretrend_max_abs_t"": 0.0}"
